child_name,status,parent_name,author1init,author1last,author2init,author2last,otherauthors,pubyr
Cyclothemis,"belongs to",Architheminae,"L. N.",Pritykina,,,,1980
"Cyclothemis sagulica","belongs to",Cyclothemis,,Pritykina,,,,1980
"Cyclothemis sogjutensis","belongs to",Cyclothemis,"L. N.",Pritykina,,,,1980
Karatawiinae,"belongs to",Odonata,"L. N.",Pritykina,,,,1980
Karatawia,"belongs to",Karatawiinae,"L. N.",Pritykina,,,,1980
"Karatawia shurabica","belongs to",Karatawia,"L. N.",Pritykina,,,,1980
"Samarura gigantea","belongs to",Samarura,"W. L.",Wang,,,,1980
Gampsophlebia,"belongs to",Karatawiinae,"L. N.",Pritykina,,,,1980
"Gampsophlebia modica","belongs to",Gampsophlebia,"L. N.",Pritykina,,,,1980
Adelophlebia,"belongs to",Karatawiinae,"L. N.",Pritykina,,,,1980
"Adelophlebia obsoleta","belongs to",Adelophlebia,"L. N.",Pritykina,,,,1980
Sogdopteron,"belongs to",Oreopteridae,"L. N.",Pritykina,,,,1980
"Sogdopteron leve","belongs to",Sogdopteron,"L. N.",Pritykina,,,,1980
"Sogdopteron legibile","belongs to",Sogdopteron,"L. N.",Pritykina,,,,1980
"Sogdopteron elongatum","belongs to",Sogdopteron,"L. N.",Pritykina,,,,1980
Amblyopteron,"belongs to",Oreopteridae,"L. N.",Pritykina,,,,1980
"Amblyopteron breve","belongs to",Amblyopteron,"L. N.",Pritykina,,,,1980
Pauropteron,"belongs to",Oreopteridae,"L. N.",Pritykina,,,,1980
"Pauropteron exile","belongs to",Pauropteron,"L. N.",Pritykina,,,,1980
"Pauropteron miserum","belongs to",Pauropteron,,Pritykina,,,,1980
Sogjutella,"belongs to",Oreopteridae,"L. N.",Pritykina,,,,1980
"Sogjutella mollis","belongs to",Sogjutella,"L. N.",Pritykina,,,,1980
Heterophlebioidea,"belongs to",Heterophlebiomorpha,"L. N.",Pritykina,,,,1981
Triassolestidae,"belongs to",Heterophlebioidea,"L. N.",Pritykina,,,,1981
Triassolestodes,"belongs to",Triassolestidae,"L. N.",Pritykina,,,,1981
"Triassolestodes asiaticus","belongs to",Triassolestodes,,Pritykina,,,,1981
Libellulina,"belongs to",Odonata,"L. N.",Pritykina,,,,1981
Heterophlebiomorpha,"belongs to",Libellulina,"L. N.",Pritykina,,,,1981
Aeshnidae,"belongs to",Anisoptera,"Y. C.",Hong,,,,1982
Liupanshania,"belongs to",Aeshnidae,"Y. C.",Hong,,,,1982
"Liupanshania sijiensis","belongs to",Liupanshania,"Y. C.",Hong,,,,1982
Archaeogomphus,"belongs to",Gomphidae,"Q. B.",Lin,,,,1982
Archaeogomphus,"belongs to",Gomphinae,"Y. C.",Hong,,,,1982
"Archaeogomphus labius","belongs to",Archaeogomphus,"Q. B.",Lin,,,,1982
Dissurus,"belongs to",Gomphinae,"Y. C.",Hong,,,,1982
"Dissurus qinquanensis","belongs to",Dissurus,"Y. C.",Hong,,,,1982
"Dissurus liauyuanensis","belongs to",Dissurus,"Y. C.",Hong,,,,1982
Hebeiaeschnidia,"belongs to",Aeschnidiidae,"Y. C.",Hong,,,,1982
Aegyptidium,"belongs to",Aeschnidiidae,T.,Schlüter,M.,Hartung,,1982
"Aegyptidium aburasiensis","belongs to",Aegyptidium,T.,Schlüter,M.,Hartung,,1982
"Heterophlebia megapolitana","belongs to","Libellula (Heterophlebia)",W.,Zessin,,,,1982
"Liadothemis insignis","belongs to",Liadothemis,W.,Zessin,,,,1982
Guyuanaeschnidia,"belongs to",Aeshnidae,"Q. B.",Lin,,,,1982
"Guyuanaeschnidia eximia","belongs to",Guyuanaeschnidia,"Q. B.",Lin,,,,1982
Gondvanogomphus,"belongs to",Gomphidae,T.,Schlüter,M.,Hartung,,1982
"Gondvanogomphus bartheli","belongs to",Gondvanogomphus,T.,Schlüter,M.,Hartung,,1982
"Laragithemis pilifera","belongs to",Laragithemis,"Q. B.",Lin,,,,1982
Gasophlebia,"belongs to",Anisozygoptera,"Q. B.",Lin,,,,1982
"Gasophlebia taianensis","belongs to",Gasophlebia,"Q. B.",Lin,,,,1982
Magnasupplephlebia,"belongs to",Anisozygoptera,W.,Zessin,,,,1982
Gomphinae,"belongs to",Gomphidae,"Y. C.",Hong,,,,1982
Sinogomphus,"belongs to",Gomphinae,"Y. C.",Hong,,,,1982
"Sinogomphus taushanense","belongs to",Sinogomphus,"Y. C.",Hong,,,,1982
Cercus,"belongs to",Gomphinae,"Y. C.",Hong,,,,1982
"Cercus clavus","belongs to",Cercus,"Y. C.",Hong,,,,1982
"Magnasupplephlebia kallweita","belongs to",Magnasupplephlebia,W.,Zessin,,,,1982
Brunneaeschnidia,"belongs to",Aeschnidiidae,"Y. C.",Hong,,,,1982
"Brunneaeschnidia jiuquanensis","belongs to",Brunneaeschnidia,"Y. C.",Hong,,,,1982
Neimengogomphus,"belongs to",Gomphinae,"Y. C.",Hong,,,,1982
"Neimengogomphus dongwugaiensis","belongs to",Neimengogomphus,"Y. C.",Hong,,,,1982
"Paraliassophlebia chengdeensis","belongs to",Paraliassophlebia,"Y. C.",Hong,,,,1983
"Samarura gigantea","belongs to",Samarura,"Y. C.",Hong,,,,1983
"Samarura punctaticaudata","belongs to",Samarura,"Y. C.",Hong,,,,1983
Huabeia,"belongs to",Heterophlebioidea,"Y. C.",Hong,,,,1983
"Huabeia liugouensis","belongs to",Huabeia,"Y. C.",Hong,,,,1983
"Jagoria oligocenica","belongs to",Jagoria,A.,Nel,M.,Papazian,,1983
"Sinostenophlebia zhanjiakouensis","belongs to",Sinostenophlebia,"Y. C.",Hong,,,,1984
"Paraliassophlebia chengdeensis","belongs to",Paraliassophlebia,"Y. C.",Hong,,,,1984
"Samarura gigantea","belongs to",Samarura,"Y. C.",Hong,,,,1984
"Samarura punctaticaudata","belongs to",Samarura,"Y. C.",Hong,,,,1984
"Huabeia liugouensis","belongs to",Huabeia,"Y. C.",Hong,,,,1984
"Lanthus wuluogongensis","belongs to",Lanthus,,Hong,,,,1984
"Sinogomphus taushanense","belongs to",Sinogomphus,"Y. C.",Hong,,,,1984
"Jibeigomphus xinboensis","belongs to",Jibeigomphus,"Y. C.",Hong,,,,1984
Nannogomphus,"belongs to",Gomphidae,"A. G.",Ponomarenko,,,,1985
Mesuropetala,"belongs to",Petaluridae,"A. G.",Ponomarenko,,,,1985
"Gomphus koehleri","belongs to",Mesuropetala,"A. G.",Ponomarenko,,,,1985
Liassophlebiidae,"belongs to",Anisozygoptera,"P. E. S.",Whalley,,,,1985
Heterophlebiidae,"belongs to",Anisozygoptera,"P. E. S.",Whalley,,,,1985
Stenophlebia,"belongs to",Stenophlebiinae,"A. G.",Ponomarenko,,,,1985
"Heterophlebia amphitrite","belongs to",Stenophlebia,"A. G.",Ponomarenko,,,,1985
"Agrion latreillei","belongs to",Stenophlebia,"A. G.",Ponomarenko,,,,1985
Cymatophlebia,"belongs to",Gomphidae,"A. G.",Ponomarenko,,,,1985
"Libellula longialata","belongs to",Cymatophlebia,"A. G.",Ponomarenko,,,,1985
Steleopteron,"belongs to",Amphipterygidae,"A. G.",Ponomarenko,,,,1985
"Steleopteron deichmuelleri","belongs to",Steleopteron,"A. G.",Ponomarenko,,,,1985
Aeschnidium,"belongs to",Aeschnidiidae,"A. G.",Ponomarenko,,,,1985
"Libellula densa","belongs to",Aeschnidium,"A. G.",Ponomarenko,,,,1985
Liassophlebia,"belongs to",Liassophlebiidae,"P. E. S.",Whalley,,,,1985
"Liassophlebia pseudomagnifica","belongs to",Liassophlebia,"P. E. S.",Whalley,,,,1985
"Liassophlebia jacksoni","belongs to",Liassophlebia,"P. E. S.",Whalley,,,,1985
"Liassophlebia gigantea","belongs to",Liassophlebia,"P. E. S.",Whalley,,,,1985
"Petrophlebia anglicanopsis","belongs to",Liassophlebia,"P. E. S.",Whalley,,,,1985
Dorsettia,"belongs to",Architheminae,"P. E. S.",Whalley,,,,1985
"Dorsettia laeta","belongs to",Dorsettia,"P. E. S.",Whalley,,,,1985
Kobdoneura,"belongs to",Architheminae,"L. N.",Pritykina,,,,1985
"Kobdoneura manca","belongs to",Kobdoneura,"L. N.",Pritykina,,,,1985
"Shurabiola nana","belongs to",Shurabiola,"L. N.",Pritykina,,,,1985
"Karatawia sibirica","belongs to",Karatawia,"L. N.",Pritykina,,,,1985
"Karatawia mongolica","belongs to",Karatawia,"L. N.",Pritykina,,,,1985
"Oreophlebia abanica","belongs to",Oreophlebia,"L. N.",Pritykina,,,,1985
Hypsothemis,"belongs to",Liassophlebiidae,"P. E. S.",Whalley,,,,1985
"Hypsothemis fraseri","belongs to",Hypsothemis,"P. E. S.",Whalley,,,,1985
"Samarura gigantea","belongs to",Samarura,"L. N.",Pritykina,,,,1985
"Samarura minor","subjective synonym of","Samarura gigantea","L. N.",Pritykina,,,,1985
"Samarura pulla","subjective synonym of","Samarura gigantea","L. N.",Pritykina,,,,1985
"Samarura angusta","subjective synonym of","Samarura gigantea","L. N.",Pritykina,,,,1985
"Samarura rotundata","subjective synonym of","Samarura gigantea","L. N.",Pritykina,,,,1985
"Hypsophlebia dubia","belongs to",Hypsophlebia,"L. N.",Pritykina,,,,1985
Olonkia,"belongs to",Karatawiinae,"L. N.",Pritykina,,,,1985
"Olonkia ignota","belongs to",Olonkia,"L. N.",Pritykina,,,,1985
"Bathmophlebia jeniseica","belongs to",Bathmophlebia,"L. N.",Pritykina,,,,1985
"Xanthohypsa sibirica","belongs to",Xanthohypsa,"L. N.",Pritykina,,,,1985
"Xanthohypsa baleiensis","belongs to",Xanthohypsa,"L. N.",Pritykina,,,,1985
"Xanthohypsa tomiensis","belongs to",Xanthohypsa,"L. N.",Pritykina,,,,1985
Oshinia,"belongs to",Campterophlebiidae,"L. N.",Pritykina,,,,1985
"Oshinia cellulata","belongs to",Oshinia,"L. N.",Pritykina,,,,1985
Sibirioneura,"belongs to",Campterophlebiidae,"L. N.",Pritykina,,,,1985
"Sibirioneura amurica","belongs to",Sibirioneura,"L. N.",Pritykina,,,,1985
"Sibirioneura angarica","belongs to",Sibirioneura,"L. N.",Pritykina,,,,1985
"Sibirioneura interrupta","belongs to",Sibirioneura,"L. N.",Pritykina,,,,1985
Angaroneura,"belongs to",Campterophlebiidae,"L. N.",Pritykina,,,,1985
"Angaroneura tincta","belongs to",Angaroneura,"L. N.",Pritykina,,,,1985
"Angaroneura obscura","belongs to",Angaroneura,"L. N.",Pritykina,,,,1985
"Angaroneura pulla","belongs to",Angaroneura,"L. N.",Pritykina,,,,1985
Isophlebia,"belongs to",Isophlebiidae,"A. G.",Ponomarenko,,,,1985
"Isophlebia aspasia","belongs to",Isophlebia,"A. G.",Ponomarenko,,,,1985
"Heterophlebia helle","belongs to",Anisophlebia,"A. G.",Ponomarenko,,,,1985
Anisophlebia,"belongs to",Isophlebiidae,"A. G.",Ponomarenko,,,,1985
Dinosamarura,"belongs to",Isophlebiidae,"L. N.",Pritykina,,,,1985
"Dinosamarura tugnuica","belongs to",Dinosamarura,"L. N.",Pritykina,,,,1985
"Lestes aquisextana","belongs to",Lestes,A.,Nel,,,,1985
"Lestes ceresti","belongs to",Lestes,A.,Nel,M.,Papazian,,1985
Architheminae,"belongs to",Anisozygoptera,"P. E. S.",Whalley,,,,1985
Aeschnogomphus,"belongs to",Petaluridae,"A. G.",Ponomarenko,,,,1985
Condalia,"belongs to",Libellulidae,"P. E. S.",Whalley,"E. A.",Jarzembowski,,1985
"Condalia woottoni","belongs to",Condalia,"P. E. S.",Whalley,"E. A.",Jarzembowski,,1985
Palaeaeschna,"belongs to",Anisoptera,"P. E. S.",Whalley,"E. A.",Jarzembowski,,1985
"Palaeaeschna vidali","belongs to",Palaeaeschna,"P. E. S.",Whalley,"E. A.",Jarzembowski,,1985
"Nasiaeschna orientalis","belongs to",Nasiaeschna,,Hong,,,,1985
"Aeschna intermedia","belongs to",Aeschnogomphus,"A. G.",Ponomarenko,,,,1985
"Nannogomphus bavaricus","belongs to",Nannogomphus,"A. G.",Ponomarenko,,,,1985
Palaeotramea,"belongs to",Libellulidae,A.,Nel,M.,Papazian,,1985
"Libellula (Heterophlebia)","belongs to",Heterophlebiidae,"P. E. S.",Whalley,,,,1985
"Palaeotramea aquisextana","belongs to",Palaeotramea,A.,Nel,M.,Papazian,,1985
"Sympetrum bigoti","belongs to",Sympetrum,A.,Nel,M.,Papazian,,1985
Jagoria,"subjective synonym of",Oligoaeschna,"D. C.",Wighton,"M. V. H.",Wilson,,1986
Corduliidae,"belongs to",Libelluloidea,"L. N.",Pritykina,,,,1986
Gomphaeschninae,"belongs to",Aeshnidae,"D. C.",Wighton,"M. V. H.",Wilson,,1986
Eocordulia,"belongs to",Gomphomacromiinae,"L. N.",Pritykina,,,,1986
"Eocordulia cretacea","belongs to",Eocordulia,"L. N.",Pritykina,,,,1986
Sona,"belongs to",Sonidae,"L. N.",Pritykina,,,,1986
"Sona nectes","belongs to",Sona,"L. N.",Pritykina,,,,1986
Sonidae,"belongs to",Aeshnoidea,"L. N.",Pritykina,,,,1986
Gomphomacromiinae,"belongs to",Corduliidae,"L. N.",Pritykina,,,,1986
Oligaeschna,"replaced by",Neoligaeschna,"F. M.",Carpenter,,,,1986
Stenolestes,"belongs to",Petrolestinae,A.,Nel,,,,1986
"Gobiaeshna occulta","belongs to",Gobiaeshna,"D. C.",Wighton,"M. V. H.",Wilson,,1986
"Gomphaeschna inferna","belongs to",Gomphaeschna,"D. C.",Wighton,"M. V. H.",Wilson,,1986
"Baissaeshna prisca","belongs to",Baissaeshna,"D. C.",Wighton,"M. V. H.",Wilson,,1986
Archaeogomphus,"replaced by",Yixiangomphus,"Q. B.",Lin,,,,1986
"Archaeogomphus labius","belongs to",Yixiangomphus,"Q. B.",Lin,,,,1986
Yixiangomphus,"belongs to",Gomphidae,"Q. B.",Lin,,,,1986
Peraphlebia,"belongs to",Mesophlebiidae,"P. A.",Jell,"P. M.",Duncan,,1986
"Peraphlebia tetrastichia","belongs to",Peraphlebia,"P. A.",Jell,"P. M.",Duncan,,1986
Italophlebia,"belongs to",Italophlebiidae,"P. E. S.",Whalley,,,,1986
"Italophlebia gervasuttii","belongs to",Italophlebia,"P. E. S.",Whalley,,,,1986
Petrolestinae,"belongs to",Lestidae,A.,Nel,,,,1986
Petrolestes,"belongs to",Petrolestinae,A.,Nel,,,,1986
Megasemum,"subjective synonym of",Stenolestes,A.,Nel,M.,Papazian,,1986
"Agrion iris","belongs to",Stenolestes,A.,Nel,,,,1986
"Megasemum ronzonense","belongs to",Stenolestes,A.,Nel,,,,1986
"Megasemum ronzonense","belongs to",Stenolestes,A.,Nel,M.,Papazian,,1986
"Indophaea falloti","belongs to",Stenolestes,A.,Nel,,,,1986
"Stenolestes coulleti","belongs to",Stenolestes,A.,Nel,M.,Papazian,,1986
"Stenolestes fischeri","belongs to",Stenolestes,A.,Nel,,,,1986
"Stenolestes camoinsi","belongs to",Stenolestes,A.,Nel,,,,1986
"Heterophlebia jucunda","belongs to",Stenolestes,A.,Nel,,,,1986
"Lithaeschna needhami","belongs to",Oligoaeschna,"D. C.",Wighton,"M. V. H.",Wilson,,1986
"Aeschna metis","belongs to",Oplonaeschna,"D. C.",Wighton,"M. V. H.",Wilson,,1986
Oligoaeschna,"belongs to",Gomphaeschninae,"D. C.",Wighton,"M. V. H.",Wilson,,1986
"Oligoaeschna anglica","belongs to",Oligoaeschna,"D. C.",Wighton,"M. V. H.",Wilson,,1986
"Jagoria oligocenica","belongs to",Oligoaeschna,"D. C.",Wighton,"M. V. H.",Wilson,,1986
"Basiaeschna ashutasica","belongs to",Oplonaeschna,"D. C.",Wighton,"M. V. H.",Wilson,,1986
Oplonaeschna,"belongs to",Gomphaeschninae,"D. C.",Wighton,"M. V. H.",Wilson,,1986
"Oplonaeschna lapidaria","belongs to",Oplonaeschna,"D. C.",Wighton,"M. V. H.",Wilson,,1986
"Aeschna palaeocoerulea","belongs to",Oplonaeschna,"D. C.",Wighton,"M. V. H.",Wilson,,1986
"Oplonaeschna vectensis","belongs to",Oplonaeschna,"D. C.",Wighton,"M. V. H.",Wilson,,1986
"Aeshna (Basiaeschna)","belongs to",Gomphaeschninae,"D. C.",Wighton,"M. V. H.",Wilson,,1986
"Aeshna (Basiaeschna) separata","belongs to",Oplonaeschna,"D. C.",Wighton,"M. V. H.",Wilson,,1986
Projagoria,"belongs to",Gomphaeschninae,"D. C.",Wighton,"M. V. H.",Wilson,,1986
"Projagoria conjuncta","belongs to",Projagoria,"D. C.",Wighton,"M. V. H.",Wilson,,1986
Alloaeschna,"belongs to",Gomphaeschninae,"D. C.",Wighton,"M. V. H.",Wilson,,1986
"Alloaeschna paskapooensis","belongs to",Alloaeschna,"D. C.",Wighton,"M. V. H.",Wilson,,1986
"Alloaeschna marklae","belongs to",Alloaeschna,"D. C.",Wighton,"M. V. H.",Wilson,,1986
"Alloaeschna quadrata","belongs to",Alloaeschna,"D. C.",Wighton,"M. V. H.",Wilson,,1986
"Aeschna ollivieri","belongs to",Aeshna,A.,Nel,,,,1986
"Gomphaeschna obliqua","belongs to",Gomphaeschna,"D. C.",Wighton,,,,1987
"Sinaeschnidia heishankowensis","belongs to",Sinaeschnidia,"Y. C.",Hong,,,,1987
"Samarura gigantea","belongs to",Samarura,"W. L.",Wang,,,,1987
"Lestes ceresti","belongs to",Lestes,A.,Nel,,,,1987
"Lestes irenea","belongs to",Lestes,A.,Nel,,,,1987
Sapho,"belongs to",Calopterygidae,A.,Nel,,,,1987
"Sapho armissani","belongs to",Sapho,A.,Nel,,,,1987
Oryctodiplax,"belongs to",Libellulidae,O.,Cavallo,"P. A.",Galletti,,1987
"Oryctodiplax gypsorum","belongs to",Oryctodiplax,O.,Cavallo,"P. A.",Galletti,,1987
"Aeschna paleocyanea","belongs to",Aeshna,A.,Nel,,,,1987
"Aeschna ollivieri","belongs to",Aeshna,,Duplicate,,,,1987
Magnasupplephlebia,"belongs to",Anisozygoptera,W.,Zessin,J.,Ansorge,,1987
"Magnasupplephlebia intercalaria","belongs to",Magnasupplephlebia,W.,Zessin,J.,Ansorge,,1987
Aeshnidae,"belongs to",Aeshnoidea,"E. A.",Jarzembowski,,,,1988
Anisoptera,"belongs to",Odonata,"E. A.",Jarzembowski,,,,1988
Aeshnoidea,"belongs to",Anisoptera,"E. A.",Jarzembowski,,,,1988
Gomphaeschninae,"belongs to",Aeshnidae,"E. A.",Jarzembowski,,,,1988
Gomphaeschninae,"belongs to",Aeshnidae,"S. E.",Lewis,,,,1988
Valdaeshna,"belongs to",Gomphaeschninae,"E. A.",Jarzembowski,,,,1988
"Valdaeshna surreyensis","belongs to",Valdaeshna,"E. A.",Jarzembowski,,,,1988
Gomphaeschna,"belongs to",Gomphaeschninae,"S. E.",Lewis,,,,1988
Parazacallitinae,"belongs to",Epallagidae,A.,Nel,,,,1988
Parazacallites,"belongs to",Parazacallitinae,A.,Nel,,,,1988
"Parazacallites aquisextanea","belongs to",Parazacallites,A.,Nel,,,,1988
"Gomphaeschna schrankii","belongs to",Gomphaeschna,"S. E.",Lewis,,,,1988
Huaxiagomphus,"belongs to",Gomphidae,"Y. C.",Hong,,,,1988
Sinogomphus,"replaced by",Huaxiagomphus,"Y. C.",Hong,,,,1988
"Sinogomphus taushanense","belongs to",Huaxiagomphus,"Y. C.",Hong,,,,1988
Miopetalura,"belongs to",Petaluridae,"J. F.",Zhang,,,,1989
Odonata,"belongs to",Insecta,"J. F.",Zhang,,,,1989
Petaluridae,"belongs to",Odonata,"J. F.",Zhang,,,,1989
Aeshnidae,"belongs to",Odonata,"J. F.",Zhang,,,,1989
Mediaeschna,"belongs to",Aeshnidae,"J. F.",Zhang,,,,1989
"Mediaeschna matutina","belongs to",Mediaeschna,"J. F.",Zhang,,,,1989
"Miopetalura shanwangica","belongs to",Miopetalura,"J. F.",Zhang,,,,1989
Coenagrionidae,"belongs to",Odonata,"J. F.",Zhang,,,,1989
Agriocnemis,"belongs to",Coenagrionidae,"J. F.",Zhang,,,,1989
Jagoria,"belongs to",Aeshnidae,"J. F.",Zhang,,,,1989
Gomphidae,"belongs to",Odonata,"J. F.",Zhang,,,,1989
Gomphus,"belongs to",Gomphidae,"J. F.",Zhang,,,,1989
Corduliidae,"belongs to",Odonata,"J. F.",Zhang,,,,1989
Epophthalmia,"belongs to",Corduliidae,"J. F.",Zhang,,,,1989
Macromia,"belongs to",Corduliidae,"J. F.",Zhang,,,,1989
Aeshna,"belongs to",Aeshnidae,"J. F.",Zhang,,,,1989
"Mediaeschna lucida","belongs to",Mediaeschna,"J. F.",Zhang,,,,1989
"Nasiaeschna orientalis","belongs to",Miopetalura,,Zhang,,,,1989
"Agriocnemis lacteola","belongs to",Agriocnemis,"J. F.",Zhang,,,,1989
"Lanthus wuluogongensis","belongs to",Gomphus,"J. F.",Zhang,,,,1989
"Jagoria sinica","belongs to",Jagoria,"J. F.",Zhang,,,,1989
"Epophthalmia zotheca","belongs to",Epophthalmia,"J. F.",Zhang,,,,1989
"Aeschna ignivora","belongs to",Aeshna,"J. F.",Zhang,,,,1989
"Palaeaeschna pallerolae","belongs to",Ilerdaegomphus,X.,Martínez-Delclòs,,,,1989
"Sympetrum italicum","belongs to",Sympetrum,G.,Gentilini,,,,1989
"Sympetrum krzeminskii","belongs to",Sympetrum,G.,Gentilini,,,,1989
"Sympetrum elongatum","belongs to",Sympetrum,G.,Gentilini,,,,1989
"Libellula mediterranea","belongs to",Libellula,G.,Gentilini,,,,1989
Tramea,"belongs to",Pantaliinae,G.,Gentilini,,,,1989
Pantaliinae,"belongs to",Libellulidae,G.,Gentilini,,,,1989
"Tramea miocenica","belongs to",Tramea,G.,Gentilini,,,,1989
Pisaurum,"belongs to",Pantaliinae,G.,Gentilini,,,,1989
"Pisaurum coloratum","belongs to",Pisaurum,G.,Gentilini,,,,1989
"Libellula quadrifasciata isoceles","belongs to",Aeshna,M.,Papazian,A.,Nel,,1989
"Gomphaeschna obliqua","belongs to",Gomphaeschnaoides,"F. L.",Carle,"D. C.",Wighton,,1990
"Euarchistigma atrophium","belongs to",Euarchistigma,"F. L.",Carle,"D. C.",Wighton,,1990
Eoprotoneura,"belongs to",Eoprotoneurinae,"F. L.",Carle,"D. C.",Wighton,,1990
Eoprotoneurinae,"belongs to",Protoneuridae,"F. L.",Carle,"D. C.",Wighton,,1990
Protoneuridae,"belongs to",Zygoptera,"F. L.",Carle,"D. C.",Wighton,,1990
"Eoprotoneura hyperstigma","belongs to",Eoprotoneura,"F. L.",Carle,"D. C.",Wighton,,1990
"Cordulagomphus tuberculatus","belongs to",Cordulagomphus,"F. L.",Carle,"D. C.",Wighton,,1990
"Cordulagomphus fenestratus","belongs to",Cordulagomphus,"F. L.",Carle,"D. C.",Wighton,,1990
Wightonia,"belongs to",Aeschnidiidae,"F. L.",Carle,"D. C.",Wighton,,1990
Aeschnidiidae,"belongs to",Aeschnidioidea,"F. L.",Carle,"D. C.",Wighton,,1990
Aeschnidioidea,"belongs to",Anisoptera,"F. L.",Carle,"D. C.",Wighton,,1990
"Wightonia araripina","belongs to",Wightonia,"F. L.",Carle,"D. C.",Wighton,,1990
Pseudomacromiidae,"belongs to",Aeschnidioidea,"F. L.",Carle,"D. C.",Wighton,,1990
Pseudomacromia,"belongs to",Pseudomacromiidae,"F. L.",Carle,"D. C.",Wighton,,1990
"Pseudomacromia sensibilis","belongs to",Pseudomacromia,"F. L.",Carle,"D. C.",Wighton,,1990
Sinaeschnidia,"belongs to",Aeschnidiidae,"Y. C.",Hong,"W. L.",Wang,,1990
"Sinaeschnidia heishankowensis","belongs to",Sinaeschnidia,"Y. C.",Hong,"W. L.",Wang,,1990
Euthemis,"belongs to",Euthemistidae,"E. A.",Jarzembowski,,,,1990
"Palaeaeschna vidali","belongs to",Palaeaeschna,X.,Martínez-Delclòs,,,,1990
"Cretacoenagrion alleni","belongs to",Cretacoenagrion,"E. A.",Jarzembowski,,,,1990
Triassoneuridae,"belongs to",Protozygoptera,I.,Fujiyama,,,,1991
Triassoneura,"belongs to",Triassoneuridae,I.,Fujiyama,,,,1991
"Triassoneura andersoni","belongs to",Triassoneura,I.,Fujiyama,,,,1991
"Triassoneura okafujii","belongs to",Triassoneura,I.,Fujiyama,,,,1991
Triassothemidae,"belongs to",Odonata,I.,Fujiyama,,,,1991
Triassothemis,"belongs to",Triassothemidae,I.,Fujiyama,,,,1991
"Triassothemis mendozensis","belongs to",Triassothemis,I.,Fujiyama,,,,1991
"Triassothemis nipponensis","belongs to",Triassothemis,I.,Fujiyama,,,,1991
"Triassothemis minensis","belongs to",Triassothemis,I.,Fujiyama,,,,1991
"Stenolestes hispanicus","belongs to",Stenolestes,A.,Nel,,,,1991
Trithemis,"belongs to",Libellulidae,A.,Nel,,,,1991
"Trithemis pseudodistanti","belongs to",Trithemis,A.,Nel,,,,1991
Odonata,"belongs to",Palaeoptera,"F. M.",Carpenter,,,,1992
Petaluridae,"belongs to",Anisoptera,"F. M.",Carpenter,,,,1992
Aeshnidae,"belongs to",Anisoptera,"F. M.",Carpenter,,,,1992
Coenagrionidae,"belongs to",Zygoptera,"F. M.",Carpenter,,,,1992
Gomphidae,"belongs to",Anisoptera,"F. M.",Carpenter,,,,1992
Gomphus,"belongs to",Gomphidae,"F. M.",Carpenter,,,,1992
Corduliidae,"belongs to",Libelluloidea,G.,Gentilini,,,,1992
Corduliidae,"belongs to",Anisoptera,"F. M.",Carpenter,,,,1992
Libelluloidea,"belongs to",Anisoptera,G.,Gentilini,,,,1992
Zygoptera,"belongs to",Odonata,"F. M.",Carpenter,,,,1992
Anisoptera,"belongs to",Odonata,G.,Gentilini,,,,1992
Anisoptera,"belongs to",Odonata,"F. M.",Carpenter,,,,1992
Platetrum,"subjective synonym of",Libellula,"F. M.",Carpenter,,,,1992
Liassogomphus,"belongs to",Liassogomphidae,"F. M.",Carpenter,,,,1992
Liassogomphidae,"belongs to",Anisoptera,"F. M.",Carpenter,,,,1992
Litheuphaea,"belongs to",Euphaeinae,"F. M.",Carpenter,,,,1992
Libellulidae,"belongs to",Anisoptera,"F. M.",Carpenter,,,,1992
Stenophlebiinae,"belongs to",Odonata,"F. M.",Carpenter,,,,1992
Campterophlebiidae,"subjective synonym of",Architheminae,"F. M.",Carpenter,,,,1992
Oligaeschna,"belongs to",Aeshnidae,"F. M.",Carpenter,,,,1992
Nannogomphus,"belongs to",Gomphidae,"F. M.",Carpenter,,,,1992
Mesuropetala,"belongs to",Petaluridae,"F. M.",Carpenter,,,,1992
Morbaeschna,"belongs to",Aeshnidae,"F. M.",Carpenter,,,,1992
Hemeroscopidae,"belongs to",Anisoptera,"F. M.",Carpenter,,,,1992
Myopophlebiidae,"subjective synonym of",Liassogomphidae,"F. M.",Carpenter,,,,1992
Liassophlebiidae,"belongs to",Anisozygoptera,"F. M.",Carpenter,,,,1992
Stenophlebia,"belongs to",Stenophlebiinae,"F. M.",Carpenter,,,,1992
Calopteryx,"belongs to",Calopterygidae,"F. M.",Carpenter,,,,1992
Aeschnopsis,"belongs to",Gomphidae,"F. M.",Carpenter,,,,1992
Libellula,"belongs to",Libellulidae,"F. M.",Carpenter,,,,1992
Sieblosia,"belongs to",Odonata,"F. M.",Carpenter,,,,1992
Stenolestes,"belongs to",Megapodagrionidae,"F. M.",Carpenter,,,,1992
Sieblosiidae,"invalid subgroup of",Odonata,"F. M.",Carpenter,,,,1992
Gobiaeshna,"belongs to",Aeshnidae,"F. M.",Carpenter,,,,1992
Cymatophlebia,"subjective synonym of",Libellulium,"F. M.",Carpenter,,,,1992
Steleopteridae,"belongs to",Zygoptera,"F. M.",Carpenter,,,,1992
Steleopteron,"belongs to",Steleopteridae,"F. M.",Carpenter,,,,1992
